Landmark,n. reviews,score,Accomodation cost,Est. min duration (nights),Est. max duration (nights),Connects to origin?,Malaria risk,Latitude,Longitude,Cost to Ujung Kulon
Bali Kuta/Denpasar,0,4.5,9,3,5,Y,Low to no risk,-8.722396,115.17671,1783331.55
Bali Ubud,0,4.5,5,3,5,N,Low to no risk,-8.506854,115.262478,1778203.35
Nusa Penida,340,4.5,13,2,3,N,Low to no risk,-8.681015,115.488063,1923075.0000000002
Gili Islands,144,4.3,16,4,7,N,Low risk,-8.353269,116.043853,1987177.5000000002
Borobudur,11198,4.6,12,1,2,N,Low to no risk,-7.607874,110.203751,656592.75
Ujung Kulon,1244,4.3,27,2,4,N,Low to no risk,-6.788680, 105.334955,0.0
Mount Bromo,1955,4.5,4,1,2,N,Low to no risk,-7.9424936,112.9530122,989925.7500000001
Yogyakarta,0,4.4,2,2,4,N,Low to no risk,-7.801377,110.364769,675823.5
Jakarta,0,3.9,13,2,3,Y,Low to no risk,-6.17539739608765,106.827278137207,217948.50000000003
Lombok,1414,4.3,3,4,8,N,Low risk,-8.47948,116.126121,1934613.4500000002
Flores,514,4.4,14,7,14,N,High risk,-8.6574,121.0794,3051279.0000000005
Komodo,182,4.1,12,0,1,N,High risk,-8.51367100280735,119.716000556946,2711279.35
Rinca,57,4.3,12,0,1,N,High risk,-8.7329,119.6615,2701279.35
Labuan Bajo,0,4.0,12,2,3,N,High risk,-8.49501,119.88604,2688458.85
